Model,Best_CV_F1,Best_Params,Accuracy,Precision,Recall,F1,AUC,Repeat
GaussianNB_TFIDF,0.6509404832673518,"{""clf__var_smoothing"": 0.01, ""vect__max_df"": 0.9, ""vect__max_features"": 2000, ""vect__min_df"": 1, ""vect__ngram_range"": [1, 2], ""vect__sublinear_tf"": true}",0.8211920529801324,0.34615384615384615,0.47368421052631576,0.39999999999999997,0.7488038277511961,1
LogReg_TFIDF,0.7203724794761209,"{""clf__C"": 1.0, ""clf__class_weight"": ""balanced"", ""clf__penalty"": ""l2"", ""clf__solver"": ""liblinear"", ""vect__max_df"": 0.9, ""vect__min_df"": 2, ""vect__ngram_range"": [1, 1], ""vect__strip_accents"": null, ""vect__sublinear_tf"": true}",0.8807947019867549,0.5172413793103449,0.7894736842105263,0.625,0.9302232854864434,1
LinearSVM_WordCharTFIDF,0.7318583838334206,"{""clf__C"": 0.25, ""clf__class_weight"": ""balanced"", ""features__char__min_df"": 2, ""features__char__ngram_range"": [3, 5], ""features__char__sublinear_tf"": true, ""features__word__max_df"": 0.9, ""features__word__min_df"": 2, ""features__word__ngram_range"": [1, 2], ""features__word__sublinear_tf"": true}",0.8807947019867549,0.5185185185185185,0.7368421052631579,0.6086956521739131,0.9350079744816586,1
ComplementNB_TFIDF,0.7312562036408136,"{""clf__alpha"": 0.1, ""clf__norm"": true, ""vect__max_df"": 0.9, ""vect__min_df"": 2, ""vect__ngram_range"": [1, 1], ""vect__smooth_idf"": true, ""vect__sublinear_tf"": true, ""vect__use_idf"": true}",0.8675496688741722,0.4827586206896552,0.7368421052631579,0.5833333333333334,0.8759968102073364,1
GaussianNB_TFIDF,0.6127204162964506,"{""clf__var_smoothing"": 0.1, ""vect__max_df"": 0.9, ""vect__max_features"": 1000, ""vect__min_df"": 2, ""vect__ngram_range"": [1, 1], ""vect__sublinear_tf"": true}",0.7218543046357616,0.2653061224489796,0.6842105263157895,0.3823529411764706,0.769537480063796,2
LogReg_TFIDF,0.7535761076384556,"{""clf__C"": 2.0, ""clf__class_weight"": ""balanced"", ""clf__penalty"": ""l1"", ""clf__solver"": ""liblinear"", ""vect__max_df"": 0.9, ""vect__min_df"": 2, ""vect__ngram_range"": [1, 1], ""vect__strip_accents"": null, ""vect__sublinear_tf"": true}",0.8741721854304636,0.5,0.7894736842105263,0.6122448979591837,0.9362041467304625,2
LinearSVM_WordCharTFIDF,0.7486177620892235,"{""clf__C"": 0.25, ""clf__class_weight"": ""balanced"", ""features__char__min_df"": 2, ""features__char__ngram_range"": [3, 5], ""features__char__sublinear_tf"": true, ""features__word__max_df"": 0.9, ""features__word__min_df"": 2, ""features__word__ngram_range"": [1, 1], ""features__word__sublinear_tf"": true}",0.8940397350993378,0.5714285714285714,0.631578947368421,0.6,0.9322169059011164,2
ComplementNB_TFIDF,0.7074209007915656,"{""clf__alpha"": 0.5, ""clf__norm"": false, ""vect__max_df"": 0.9, ""vect__min_df"": 5, ""vect__ngram_range"": [1, 1], ""vect__smooth_idf"": true, ""vect__sublinear_tf"": true, ""vect__use_idf"": true}",0.8609271523178808,0.4666666666666667,0.7368421052631579,0.5714285714285714,0.8592503987240829,2
GaussianNB_TFIDF,0.6490160101212563,"{""clf__var_smoothing"": 0.01, ""vect__max_df"": 0.9, ""vect__max_features"": 2000, ""vect__min_df"": 2, ""vect__ngram_range"": [1, 2], ""vect__sublinear_tf"": true}",0.7483443708609272,0.1935483870967742,0.3157894736842105,0.24000000000000002,0.6146331738437001,3
LogReg_TFIDF,0.7999873131372307,"{""clf__C"": 2.0, ""clf__class_weight"": ""balanced"", ""clf__penalty"": ""l1"", ""clf__solver"": ""liblinear"", ""vect__max_df"": 0.9, ""vect__min_df"": 1, ""vect__ngram_range"": [1, 1], ""vect__strip_accents"": null, ""vect__sublinear_tf"": true}",0.8543046357615894,0.4594594594594595,0.8947368421052632,0.6071428571428572,0.9182615629984051,3
LinearSVM_WordCharTFIDF,0.7729454557779398,"{""clf__C"": 0.25, ""clf__class_weight"": ""balanced"", ""features__char__min_df"": 2, ""features__char__ngram_range"": [3, 5], ""features__char__sublinear_tf"": true, ""features__word__max_df"": 0.9, ""features__word__min_df"": 2, ""features__word__ngram_range"": [1, 2], ""features__word__sublinear_tf"": true}",0.8741721854304636,0.5,0.47368421052631576,0.4864864864864865,0.8811802232854864,3
