Model,Best_CV_F1,Best_Params,Accuracy,Precision,Recall,F1,AUC,Repeat
LogReg_TFIDF,0.744192183711203,"{""clf__C"": 2.0, ""clf__class_weight"": ""balanced"", ""clf__penalty"": ""l2"", ""clf__solver"": ""liblinear"", ""vect__max_df"": 0.9, ""vect__min_df"": 2, ""vect__ngram_range"": [1, 1], ""vect__strip_accents"": null, ""vect__sublinear_tf"": true}",0.8543046357615894,0.4482758620689655,0.6842105263157895,0.5416666666666666,0.9258373205741627,1
LinearSVM_WordCharTFIDF,0.7357252435218123,"{""clf__C"": 0.25, ""clf__class_weight"": ""balanced"", ""features__char__min_df"": 2, ""features__char__ngram_range"": [4, 6], ""features__char__sublinear_tf"": true, ""features__word__max_df"": 0.9, ""features__word__min_df"": 2, ""features__word__ngram_range"": [1, 2], ""features__word__sublinear_tf"": true}",0.9006622516556292,0.5909090909090909,0.6842105263157895,0.6341463414634148,0.932615629984051,1
ComplementNB_TFIDF,0.7218077525786453,"{""clf__alpha"": 0.25, ""clf__norm"": true, ""vect__max_df"": 0.9, ""vect__min_df"": 5, ""vect__ngram_range"": [1, 1], ""vect__smooth_idf"": true, ""vect__sublinear_tf"": true, ""vect__use_idf"": true}",0.8807947019867549,0.5185185185185185,0.7368421052631579,0.6086956521739131,0.9222488038277512,1
LogReg_TFIDF,0.7655438270511906,"{""clf__C"": 0.5, ""clf__class_weight"": ""balanced"", ""clf__penalty"": ""l2"", ""clf__solver"": ""liblinear"", ""vect__max_df"": 0.9, ""vect__min_df"": 2, ""vect__ngram_range"": [1, 1], ""vect__strip_accents"": null, ""vect__sublinear_tf"": true}",0.8609271523178808,0.4642857142857143,0.6842105263157895,0.5531914893617021,0.9198564593301435,2
LinearSVM_WordCharTFIDF,0.7401748893887978,"{""clf__C"": 0.25, ""clf__class_weight"": ""balanced"", ""features__char__min_df"": 2, ""features__char__ngram_range"": [3, 5], ""features__char__sublinear_tf"": true, ""features__word__max_df"": 0.9, ""features__word__min_df"": 2, ""features__word__ngram_range"": [1, 2], ""features__word__sublinear_tf"": true}",0.8874172185430463,0.5416666666666666,0.6842105263157895,0.6046511627906976,0.9334130781499203,2
ComplementNB_TFIDF,0.7304404945352211,"{""clf__alpha"": 0.5, ""clf__norm"": false, ""vect__max_df"": 0.9, ""vect__min_df"": 5, ""vect__ngram_range"": [1, 1], ""vect__smooth_idf"": true, ""vect__sublinear_tf"": true, ""vect__use_idf"": true}",0.8940397350993378,0.5555555555555556,0.7894736842105263,0.6521739130434783,0.8736044657097288,2
LogReg_TFIDF,0.7854285545616594,"{""clf__C"": 2.0, ""clf__class_weight"": ""balanced"", ""clf__penalty"": ""l1"", ""clf__solver"": ""liblinear"", ""vect__max_df"": 0.9, ""vect__min_df"": 2, ""vect__ngram_range"": [1, 2], ""vect__strip_accents"": null, ""vect__sublinear_tf"": true}",0.8410596026490066,0.42857142857142855,0.7894736842105263,0.5555555555555555,0.9174641148325359,3
LinearSVM_WordCharTFIDF,0.7865985734577521,"{""clf__C"": 0.25, ""clf__class_weight"": ""balanced"", ""features__char__min_df"": 2, ""features__char__ngram_range"": [3, 5], ""features__char__sublinear_tf"": true, ""features__word__max_df"": 0.9, ""features__word__min_df"": 2, ""features__word__ngram_range"": [1, 2], ""features__word__sublinear_tf"": true}",0.8940397350993378,0.5714285714285714,0.631578947368421,0.6,0.8755980861244019,3
ComplementNB_TFIDF,0.7484950540493586,"{""clf__alpha"": 0.1, ""clf__norm"": false, ""vect__max_df"": 0.9, ""vect__min_df"": 5, ""vect__ngram_range"": [1, 1], ""vect__smooth_idf"": true, ""vect__sublinear_tf"": true, ""vect__use_idf"": true}",0.7814569536423841,0.3333333333333333,0.7368421052631579,0.4590163934426229,0.8628389154704944,3
LogReg_TFIDF,0.7311749026024303,"{""clf__C"": 2.0, ""clf__class_weight"": ""balanced"", ""clf__penalty"": ""l2"", ""clf__solver"": ""liblinear"", ""vect__max_df"": 0.9, ""vect__min_df"": 2, ""vect__ngram_range"": [1, 1], ""vect__strip_accents"": null, ""vect__sublinear_tf"": true}",0.9139072847682119,0.65,0.6842105263157895,0.6666666666666667,0.9262360446570972,4
